feature,labeled_non_na,labeled_missing,strict_all_rows,strict_rows_without_feature,delta_if_drop_feature
feat_lai,55,19,11,14,3
feat_lai_lag_4,56,18,11,14,3
feat_lai_lag_1,57,17,11,14,3
feat_lai_lag_2,59,15,11,14,3
feat_temp_lag_1,69,5,11,14,3
feat_temp_lag_2,70,4,11,14,3
feat_temp_lag_4,69,5,11,13,2
feat_temp_anomaly,69,5,11,12,1
feat_temp_lag_8,70,4,11,12,1
feat_var_spike_ratio,56,18,11,11,0
feat_recent_normalized,56,18,11,11,0
feat_rain_lag_1,68,6,11,11,0
feat_rain_lag_2,68,6,11,11,0
feat_rain_lag_4,68,6,11,11,0
feat_rain_lag_8,68,6,11,11,0
feat_rain_persist_4w,68,6,11,11,0
feat_cases_lag_1,74,0,11,11,0
feat_cases_lag_2,74,0,11,11,0
feat_cases_lag_4,74,0,11,11,0
feat_cases_lag_8,74,0,11,11,0
feat_cases_ma_4w,74,0,11,11,0
feat_cases_ma_8w,74,0,11,11,0
feat_cases_growth_rate,74,0,11,11,0
feat_cases_var_4w,74,0,11,11,0
feat_cases_acf_lag1_4w,74,0,11,11,0
feat_cases_trend_4w,74,0,11,11,0
feat_cases_skew_4w,74,0,11,11,0
feat_degree_days_above_20,74,0,11,11,0
feat_acf_change,74,0,11,11,0
feat_trend_accel,74,0,11,11,0
feat_week_sin,74,0,11,11,0
feat_week_cos,74,0,11,11,0
feat_quarter,74,0,11,11,0
feat_is_monsoon,74,0,11,11,0
feat_lat_norm,74,0,11,11,0
feat_lon_norm,74,0,11,11,0
feat_lat_lon_interact,74,0,11,11,0
