feature,labeled_present_count,labeled_missing_count,labeled_missing_pct
feat_lai,55,19,25.675675675675674
feat_lai_lag_4,56,18,24.324324324324326
feat_var_spike_ratio,56,18,24.324324324324326
feat_recent_normalized,56,18,24.324324324324326
feat_lai_lag_1,57,17,22.972972972972975
feat_lai_lag_2,59,15,20.27027027027027
feat_rain_persist_4w,68,6,8.108108108108109
feat_rain_lag_4,68,6,8.108108108108109
feat_rain_lag_2,68,6,8.108108108108109
feat_rain_lag_1,68,6,8.108108108108109
feat_rain_lag_8,68,6,8.108108108108109
feat_temp_lag_1,69,5,6.756756756756757
feat_temp_lag_4,69,5,6.756756756756757
feat_temp_anomaly,69,5,6.756756756756757
feat_temp_lag_8,70,4,5.405405405405405
feat_temp_lag_2,70,4,5.405405405405405
feat_acf_change,74,0,0.0
feat_trend_accel,74,0,0.0
feat_week_sin,74,0,0.0
feat_week_cos,74,0,0.0
feat_quarter,74,0,0.0
feat_is_monsoon,74,0,0.0
feat_lat_norm,74,0,0.0
feat_lon_norm,74,0,0.0
feat_cases_lag_1,74,0,0.0
feat_degree_days_above_20,74,0,0.0
feat_cases_lag_2,74,0,0.0
feat_cases_skew_4w,74,0,0.0
feat_cases_trend_4w,74,0,0.0
feat_cases_acf_lag1_4w,74,0,0.0
feat_cases_var_4w,74,0,0.0
feat_cases_growth_rate,74,0,0.0
feat_cases_ma_8w,74,0,0.0
feat_cases_ma_4w,74,0,0.0
feat_cases_lag_8,74,0,0.0
feat_cases_lag_4,74,0,0.0
feat_lat_lon_interact,74,0,0.0
